ID,boxoffice_todate,countries,directors,dvd_release,imdbID,imdbRating,imdbVotes,langs,mpaa_rating,plot,poster_url,prodco,release_date,release_year,runtime,title,actors,watched,genres,writers
0,5644918,USA,Mike Mills,3/28/2017,tt4385888,7.5,11525,English,R,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg,A24 Films,1/20/2017,2016,119 min,20th Century Women,Annette Bening|Elle Fanning|Greta Gerwig|Billy Crudup,1,Comedy|Drama,Mike Mills
1,0,USA,Gaby Dellal,#N/A,tt4158624,5.4,1585,English|Spanish,#N/A,"After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MTIwOTMwNl5BMl5BanBnXkFtZTgwODQzNjY5MTI@._V1_SX300.jpg,The Weinstein Company,9/29/2016,2015,92 min,3 Generations,Elle Fanning|Linda Emond|Susan Sarandon|Naomi Watts,1,Drama,Nikole Beckwith|Gaby Dellal
2,8103139,USA|Germany,Gore Verbinski,#N/A,tt4731136,6.5,11455,English|German,R,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_SX300.jpg,20th Century Fox,2/17/2017,2016,146 min,A Cure for Wellness,Dane DeHaan|Jason Isaacs|Mia Goth|Ivo Nandi,0,Drama|Fantasy|Horror,Justin Haythe |Justin Haythe |Gore Verbinski 
3,0,Ireland|UK,Liam Gavin,#N/A,tt4805316,6.9,98,English,#N/A,A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTEzNDk1MzM4MDleQTJeQWpwZ15BbWU4MDM2NTI4ODEy._V1_SX300.jpg,Samson Films,4/28/2017,2016,100 min,A Dark Song,Mark Huberman|Susan Loughnane|Steve Oram|Catherine Walker,0,Drama|Horror,Liam Gavin
4,64008927,USA,Lasse Hallström,5/2/2017,tt1753383,6.1,19117,English,PG,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_SX300.jpg,Amblin Entertainment,1/27/2017,2017,100 min,A Dog's Purpose,Josh Gad|Dennis Quaid|Peggy Lipton|Bryce Gheisar,1,Adventure|Comedy|Drama,W. Bruce Cameron |Cathryn Michon |Audrey Wells |Maya Forbes |Wally Wolodarsky |W. Bruce Cameron 
5,492280,UK|Belgium,Terence Davies,#N/A,tt2392830,7.3,538,English,PG-13,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",https://images-na.ssl-images-amazon.com/images/M/MV5BZDNhNDg5ZGItMzA2YS00NDRlLWE2NTItNWQ0OGEwZGIyOTc2XkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,Hurricane Films,4/7/2017,2016,125 min,A Quiet Passion,Cynthia Nixon|Jennifer Ehle|Duncan Duff|Keith Carradine,1,Biography|Drama,Terence Davies
6,0,USA,Elisabeth Subrin,#N/A,tt4637878,7.3,76,English,#N/A,"An exhausted, workaholic actress, Anna Baskin, 44, abruptly extricates herself from a successful but mind-numbing TV role, returning to her past life in New York to reinvent herself.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTdjY2VhNWMtNmE3Yi00NmIxLTk3MTQtYzliNGIxMzE5ODg5XkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_SX300.jpg,#N/A,3/22/2017,2016,97 min,"A Woman, a Part",Maggie Siff|Dagmara Dominczyk|John Ortiz|Khandi Alexander,1,Drama,Elisabeth Subrin
7,673096,UK|USA,Terry Jones,#N/A,tt1727770,6,26046,English|French,#N/A,"A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNTQ1NDgyOF5BMl5BanBnXkFtZTgwMjMxNjU0NjE@._V1_SX300.jpg,Atlas Distribution,5/12/2017,2015,85 min,Absolutely Anything,Simon Pegg|Kate Beckinsale|Sanjeev Bhaskar|Rob Riggle,1,Comedy|Sci-Fi,Terry Jones |Gavin Scott 
8,0,USA|Australia|New Zealand|UK,Ridley Scott,#N/A,tt2316204,7.1,12767,English,R,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MzM3MzkxNF5BMl5BanBnXkFtZTgwOTkyMjI4MTI@._V1_SX300.jpg,20th Century Fox,5/19/2017,2017,122 min,Alien: Covenant,Michael Fassbender|Katherine Waterston|Billy Crudup|Danny McBride,1,Horror|Sci-Fi|Thriller,Dan O'Bannon |Ronald Shusett |Jack Paglen |Michael Green |John Logan |Dante Harper 
9,8571,USA,Brett Berns|Bob Sarles,#N/A,tt5432624,0,0,English,#N/A,"Music meets the Mob in this biographical documentary, narrated by Steven Van Zandt, about the life and career of Bert Berns, the most important songwriter and record producer from the sixties that you never heard of.",#N/A,Abramorama,3/12/2016,2016,94 min,Bang! The Bert Berns Story,Brooks Arthur|Jeff Barry|Carmine DeNoia|Cissy Houston,1,Documentary,Christina Keating |Joel Selvin 
