,month,season,year,rank,movie_title,prodco,total_gross,numtheaters,open_tickets,opentheaters,startdate,enddate
0,1,Winter,2002,1,A Beautiful Mind,Uni.,"$170,742,341","2,250","$367,151",11,1/4,5/30
1,1,Winter,2002,2,Black Hawk Down,SonR,"$108,638,745","3,143","$179,823",4,1/18,4/14
2,1,Winter,2002,3,Snow Dogs,BV,"$81,172,560","2,454","$17,814,259","2,302",1/18,6/13
3,1,Winter,2002,4,The Count of Monte Cristo,BV,"$54,234,062","2,211","$11,376,150","2,007",1/25,6/20
4,1,Winter,2002,5,The Royal Tenenbaums,BV,"$52,364,010",999,"$276,981",5,1/4,6/20
5,1,Winter,2002,6,Gosford Park,USA,"$41,308,615",918,"$241,219",9,1/18,6/6
6,1,Winter,2002,7,A Walk to Remember,WB,"$41,281,092","2,420","$12,177,488","2,411",1/25,5/2
7,1,Winter,2002,8,Orange County,Par.,"$41,076,018","2,317","$15,053,226","2,317",1/11,3/28
8,1,Winter,2002,9,I Am Sam,NL,"$40,311,852","1,450","$41,779",2,1/25,4/18
9,1,Winter,2002,10,The Mothman Prophecies,SGem,"$35,746,370","2,331","$11,208,851","2,331",1/25,3/17
10,1,Winter,2002,11,Kung Pow! Enter the Fist,Fox,"$16,037,962","2,478","$7,017,474","2,478",1/25,4/18
11,1,Winter,2002,12,Impostor,Mira.,"$6,285,176","1,870","$3,022,523","1,870",1/4,1/24
12,2,Spring,2002,1,John Q.,NL,"$71,756,802","2,505","$20,275,194","2,466",2/15,5/2
13,2,Spring,2002,2,Return to Never Land,BV,"$48,430,258","2,626","$11,889,631","2,605",2/15,6/13
14,2,Spring,2002,3,Big Fat Liar,Uni.,"$48,360,547","2,534","$11,554,015","2,531",2/8,4/11
15,2,Spring,2002,4,Collateral Damage,WB,"$40,077,257","2,824","$15,058,432","2,824",2/8,5/2
16,2,Spring,2002,5,Crossroads,Par.,"$37,191,304","2,713","$14,527,187","2,380",2/15,5/9
17,2,Spring,2002,6,In the Bedroom,Mira.,"$35,930,604","1,103","$93,972",4,2/8,5/16
18,2,Spring,2002,7,Queen of the Damned,WB,"$30,336,800","2,511","$14,757,535","2,511",2/22,5/9
19,2,Spring,2002,8,Dragonfly,Uni.,"$30,323,400","2,507","$10,216,025","2,507",2/22,4/11
20,2,Spring,2002,9,Hart's War,MGM,"$19,077,641","2,459","$7,771,753","2,459",2/15,5/23
21,2,Spring,2002,10,Rollerball,MGM,"$18,990,798","2,762","$9,013,548","2,762",2/8,5/23
