,month,season,year,rank,movie_title,prodco,total_tickets,numtheaters,open_tickets,opentheaters,startdate,enddate
0,1,Winter,2002,1,A Beautiful Mind,Uni.,"29,414,700","2,250","64,900",11,1/4,5/30
1,1,Winter,2002,2,Black Hawk Down,SonR,"18,698,600","3,143","31,800",4,1/18,4/14
2,1,Winter,2002,3,Snow Dogs,BV,"13,971,200","2,454","3,066,100","2,302",1/18,6/13
3,1,Winter,2002,4,The Count of Monte Cristo,BV,"9,334,600","2,211","1,958,000","2,007",1/25,6/20
4,1,Winter,2002,5,The Royal Tenenbaums,BV,"9,027,000",999,"48,900",5,1/4,6/20
5,1,Winter,2002,6,Gosford Park,USA,"7,110,500",918,"42,600",9,1/18,6/6
6,1,Winter,2002,7,A Walk to Remember,WB,"7,105,200","2,420","2,096,000","2,411",1/25,5/2
7,1,Winter,2002,8,Orange County,Par.,"7,069,900","2,317","2,590,900","2,317",1/11,3/28
8,1,Winter,2002,9,I Am Sam,NL,"6,938,400","1,450","7,400",2,1/25,4/18
9,1,Winter,2002,10,The Mothman Prophecies,SGem,"6,152,600","2,331","1,929,200","2,331",1/25,3/17
10,1,Winter,2002,11,Kung Pow! Enter the Fist,Fox,"2,760,400","2,478","1,207,800","2,478",1/25,4/18
11,1,Winter,2002,12,Impostor,Mira.,"1,081,800","1,870","520,200","1,870",1/4,1/24
12,2,Spring,2002,1,John Q.,NL,"12,350,600","2,505","3,489,700","2,466",2/15,5/2
13,2,Spring,2002,2,Return to Never Land,BV,"8,335,700","2,626","2,046,400","2,605",2/15,6/13
14,2,Spring,2002,3,Big Fat Liar,Uni.,"8,323,700","2,534","1,988,600","2,531",2/8,4/11
15,2,Spring,2002,4,Collateral Damage,WB,"6,898,000","2,824","2,591,800","2,824",2/8,5/2
16,2,Spring,2002,5,Crossroads,Par.,"6,401,300","2,713","2,500,400","2,380",2/15,5/9
17,2,Spring,2002,6,In the Bedroom,Mira.,"6,188,900","1,103","16,600",4,2/8,5/16
18,2,Spring,2002,7,Queen of the Damned,WB,"5,221,500","2,511","2,540,000","2,511",2/22,5/9
19,2,Spring,2002,8,Dragonfly,Uni.,"5,219,200","2,507","1,758,400","2,507",2/22,4/11
20,2,Spring,2002,9,Hart's War,MGM,"3,283,600","2,459","1,337,700","2,459",2/15,5/23
21,2,Spring,2002,10,Rollerball,MGM,"3,268,600","2,762","1,551,400","2,762",2/8,5/23
22,2,Spring,2002,11,Super Troopers,FoxS,"3,182,900","1,805","1,067,800","1,780",2/15,5/2
23,2,Spring,2002,12,Slackers,Sony,"909,800","1,893","479,400","1,893",2/1,2/14
24,2,Spring,2002,13,Birthday Girl,Mira.,"885,100","1,000","408,100","1,000",2/1,2/21
25,3,Spring,2002,1,Ice Age,Fox,"30,359,300","3,345","7,971,200","3,316",3/15,9/2
26,3,Spring,2002,2,Panic Room,Sony,"16,591,600","3,119","5,173,300","3,053",3/29,6/9
27,3,Spring,2002,3,Blade II,NL,"14,173,600","2,707","5,598,600","2,707",3/22,5/30
28,3,Spring,2002,4,We Were Soldiers,Par.,"13,446,200","3,143","3,478,900","3,143",3/1,7/4
29,3,Spring,2002,5,The Rookie,BV,"13,012,100","2,543","2,757,600","2,511",3/29,8/29
30,3,Spring,2002,6,The Time Machine,DW,"9,781,800","2,958","3,891,600","2,944",3/8,5/23
31,3,Spring,2002,7,Resident Evil,SGem,"6,905,300","2,528","3,047,700","2,528",3/15,5/9
32,3,Spring,2002,8,Showtime,WB,"6,554,700","2,917","2,583,700","2,917",3/15,5/30
33,3,Spring,2002,9,40 Days and 40 Nights,Mira.,"6,532,000","2,399","2,104,900","2,225",3/1,5/23
34,3,Spring,2002,10,Clockstoppers,Par.,"6,366,600","2,563","1,739,800","2,540",3/29,8/1
35,3,Spring,2002,11,E.T. (20th Anniversary),Uni.,"6,076,800","3,007","2,448,000","3,007",3/22,5/16
36,3,Spring,2002,12,Monster's Ball,Lions,"5,383,000",714,"19,500",7,3/1,6/6
37,3,Spring,2002,13,All About the Benjamins,NL,"4,460,600","1,519","1,722,400","1,505",3/8,5/23
38,3,Spring,2002,14,Sorority Boys,BV,"1,755,600","1,801","710,500","1,801",3/22,6/20
39,3,Spring,2002,15,Death to Smoochy,WB,"1,439,700","2,164","734,300","2,164",3/29,5/9
40,4,Spring,2002,1,The Scorpion King,Uni.,"15,670,800","3,466","6,209,300","3,444",4/19,6/27
41,4,Spring,2002,2,Changing Lanes,Par.,"11,500,600","2,642","2,948,000","2,613",4/12,8/8
42,4,Spring,2002,3,High Crimes,Fox,"7,150,400","2,747","2,410,600","2,717",4/5,8/22
43,4,Spring,2002,4,Murder by Numbers,WB,"5,498,400","2,663","1,602,000","2,663",4/19,7/4
44,4,Spring,2002,5,The Sweetest Thing,Sony,"4,254,400","2,670","1,623,200","2,670",4/12,5/19
45,4,Spring,2002,6,National Lampoon's Van Wilder,Art.,"3,667,000","2,104","1,257,000","2,022",4/5,5/16
46,4,Spring,2002,7,"Life, or Something Like It",Fox,"2,486,800","2,609","1,070,400","2,606",4/26,6/30
47,4,Spring,2002,8,Jason X,NL,"2,258,400","1,879","1,144,400","1,878",4/26,5/30
48,4,Spring,2002,9,Frailty,Lions,"2,256,500","1,497","724,400","1,497",4/12,6/13
49,4,Spring,2002,10,Big Trouble,BV,"1,250,800","1,961","610,200","1,961",4/5,6/20
50,5,Summer,2002,1,Spider-Man,Sony,"69,484,700","3,876","19,766,600","3,615",5/3,8/18
51,5,Summer,2002,2,Star Wars: Episode II - Attack of the Clones,Fox,"52,012,300","3,161","13,774,200","3,161",5/16,11/3
52,5,Summer,2002,3,The Sum of All Fears,Par.,"20,465,900","3,230","5,366,400","3,183",5/31,9/5
53,5,Summer,2002,4,Spirit: Stallion of the Cimarron,DW,"12,612,800","3,362","3,058,500","3,317",5/24,9/12
54,5,Summer,2002,5,Insomnia,WB,"11,593,000","2,610","3,602,400","2,610",5/24,9/26
55,5,Summer,2002,6,Unfaithful,Fox,"9,083,600","2,625","2,420,900","2,617",5/10,8/13
56,5,Summer,2002,7,About a Boy,Uni.,"7,123,100","1,756","1,472,900","1,207",5/17,7/18
57,5,Summer,2002,8,Enough,Sony,"6,886,000","2,623","2,411,300","2,623",5/24,7/11
58,5,Summer,2002,9,Undercover Brother,Uni.,"6,728,000","2,169","2,071,900","2,167",5/31,7/18
59,5,Summer,2002,10,The New Guy,SonR,"5,122,200","2,687","1,550,400","2,687",5/10,6/30
60,5,Summer,2002,11,Deuces Wild,MGM,"1,046,500","1,480","465,500","1,480",5/3,5/30
61,5,Summer,2002,12,Hollywood Ending,DW,"834,900",772,"347,300",765,5/3,6/27
62,6,Summer,2002,1,Scooby-Doo,WB,"26,384,500","3,447","9,321,100","3,447",6/14,10/31
63,6,Summer,2002,2,Lilo & Stitch,BV,"25,093,700","3,222","6,068,900","3,191",6/21,11/26
64,6,Summer,2002,3,Minority Report,Fox,"22,732,000","3,001","6,140,600","3,001",6/21,10/31
65,6,Summer,2002,4,Mr. Deeds,Sony,"21,737,300","3,239","6,396,300","3,231",6/28,12/19
66,6,Summer,2002,5,The Bourne Identity,Uni.,"20,940,000","2,663","4,667,600","2,638",6/14,11/21
67,6,Summer,2002,6,Divine Secrets of the Ya-Ya Sisterhood,WB,"11,979,200","2,792","2,782,700","2,507",6/7,10/10
68,6,Summer,2002,7,Windtalkers,MGM,"7,042,000","2,898","2,499,200","2,898",6/14,10/17
69,6,Summer,2002,8,Bad Company,BV,"5,191,100","2,944","1,894,600","2,944",6/7,9/26
70,6,Summer,2002,9,Hey Arnold! The Movie,Par.,"2,363,000","2,534","982,200","2,527",6/28,8/22
71,6,Summer,2002,10,Juwanna Mann,WB,"2,353,000","1,325","942,200","1,325",6/21,9/5
72,7,Summer,2002,1,Austin Powers in Goldmember,NL,"36,713,900","3,613","12,576,800","3,613",7/26,11/21
73,7,Summer,2002,2,Men in Black II,Sony,"32,774,300","3,641","8,975,700","3,557",7/3,9/2
74,7,Summer,2002,3,Road to Perdition,DW,"17,978,400","2,332","3,800,300","1,797",7/12,11/28
75,7,Summer,2002,4,Stuart Little 2,Sony,"11,179,200","3,282","2,601,600","3,255",7/19,1/5
76,7,Summer,2002,5,Like Mike,Fox,"8,852,500","2,436","2,096,300","2,410",7/3,11/19
77,7,Summer,2002,6,Reign of Fire,BV,"7,411,700","2,629","2,690,600","2,629",7/12,10/24
78,7,Summer,2002,7,K-19: The Widowmaker,Par.,"6,053,200","2,830","2,199,400","2,828",7/19,10/24
79,7,Summer,2002,8,Halloween: Resurrection,Dim.,"5,224,500","2,094","2,115,700","1,954",7/12,10/31
80,7,Summer,2002,9,The Crocodile Hunter: Collision Course,MGM,"4,895,500","2,535","1,641,500","2,525",7/12,12/5
81,7,Summer,2002,10,Eight Legged Freaks,WB,"2,981,500","2,530","1,116,300","2,530",7/17,10/17
82,7,Summer,2002,11,The Country Bears,BV,"2,924,400","2,553","913,900","2,553",7/26,11/7
83,7,Summer,2002,12,The Powerpuff Girls Movie,WB,"1,964,300","2,340","616,700","2,340",7/3,9/5
84,8,Fall,2002,1,My Big Fat Greek Wedding,IFC,"41,419,500","2,016","102,800",108,8/2,4/13
85,8,Fall,2002,2,Signs,BV,"39,233,600","3,453","10,347,200","3,264",8/2,2/6
86,8,Fall,2002,3,XXX,SonR,"24,457,600","3,536","7,660,300","3,374",8/9,1/5
87,8,Fall,2002,4,Spy Kids 2: The Island of Lost Dreams,Dim.,"14,774,700","3,307","2,876,400","3,307",8/7,1/12
88,8,Fall,2002,5,Blue Crush,Uni.,"6,951,900","3,015","2,438,800","3,002",8/16,10/3
89,8,Fall,2002,6,The Master of Disguise,SonR,"6,951,600","2,568","2,160,900","2,565",8/2,11/28
90,8,Fall,2002,7,Blood Work,WB,"4,515,500","2,525","1,258,600","2,525",8/9,10/24
91,8,Fall,2002,8,Martin Lawrence Live: Runteldat,Par.,"3,302,000",774,"1,269,200",752,8/2,10/31
92,8,Fall,2002,9,Serving Sara,Par.,"2,914,000","2,174","991,100","2,154",8/23,11/28
93,8,Fall,2002,10,The Good Girl,FoxS,"2,412,800",688,"26,100",4,8/30,12/10
94,8,Fall,2002,11,fear dot com,WB,"2,282,000","2,550","982,800","2,550",8/30,10/31
95,8,Fall,2002,12,Undisputed,Mira.,"2,197,000","1,117","782,900","1,102",8/23,11/28
96,8,Fall,2002,13,Possession (2002),Focus,"1,740,700",619,"271,100",270,8/30,10/17
97,8,Fall,2002,14,Simone,NL,"1,667,600","1,920","656,400","1,920",8/23,10/10
98,8,Fall,2002,15,The Adventures of Pluto Nash,WB,"760,800","2,320","375,700","2,320",8/16,10/3
99,9,Fall,2002,1,Sweet Home Alabama,BV,"21,883,400","3,313","6,135,800","3,293",9/27,2/20
100,9,Fall,2002,2,Barbershop,MGM,"13,041,800","2,176","3,550,300","1,605",9/13,2/6
101,9,Fall,2002,3,The Tuxedo,DW,"8,699,100","3,022","2,590,500","3,022",9/27,1/12
102,9,Fall,2002,4,One Hour Photo,FoxS,"5,438,300","1,332","55,300",7,9/13,1/5
103,9,Fall,2002,5,The Banger Sisters,FoxS,"5,216,400","2,739","1,727,700","2,738",9/20,12/26
104,9,Fall,2002,6,SwimFan,Fox,"4,916,500","2,860","1,949,500","2,856",9/6,12/5
105,9,Fall,2002,7,City by the Sea,WB,"3,863,800","2,575","1,537,900","2,575",9/6,11/14
106,9,Fall,2002,8,The Four Feathers,Par.,"3,150,800","2,187","1,180,400","1,912",9/20,11/28
107,9,Fall,2002,9,Ballistic: Ecks vs. Sever,WB,"2,462,600","2,705","1,206,600","2,705",9/20,11/21
108,9,Fall,2002,10,Stealing Harvard,SonR,"2,415,900","2,366","1,039,800","2,366",9/13,10/20
109,9,Fall,2002,11,Trapped,Sony,"1,217,400","2,227","552,600","2,227",9/20,10/13
