,avg_drop,avg_gross,best_gross,best_movie,best_pcttotal,month,month_name,num_movies,pctyr_totalgross,total_tickets,year
0,-30.1%,$83.2,$339.8,Two Towers,34.1%,1,DECEMBER,12,11.3%,$997.8,2002
1,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,1,NOVEMBER,16,10.4%,$920.2,2002
2,-42.3%,$33.6,$129.1,The Ring,27.5%,1,OCTOBER,14,5.3%,$469.9,2002
3,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,1,SEPTEMBER,12,4.8%,$426.8,2002
4,-45.6%,$60.3,$228.0,Signs,25.2%,1,AUGUST,15,10.3%,$904.8,2002
5,-47.4%,$67.3,$213.3,Goldmember,26.4%,1,JULY,12,9.2%,$807.3,2002
6,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,1,JUNE,10,9.6%,$847.2,2002
7,-38.4%,$98.3,$403.7,Spider-Man,34.2%,1,MAY,12,13.4%,"$1,179.4",2002
8,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,1,APRIL,10,3.7%,$325.3,2002
9,-43.2%,$55.3,$176.4,Ice Age,21.3%,1,MARCH,15,9.4%,$829.9,2002
10,-36.1%,$31.5,$71.8,John Q.,17.5%,1,FEBRUARY,13,4.6%,$409.4,2002
11,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,1,JANUARY,12,7.8%,$689.2,2002
12,-30.1%,$83.2,$339.8,Two Towers,34.1%,2,DECEMBER,12,11.3%,$997.8,2002
13,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,2,NOVEMBER,16,10.4%,$920.2,2002
14,-42.3%,$33.6,$129.1,The Ring,27.5%,2,OCTOBER,14,5.3%,$469.9,2002
15,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,2,SEPTEMBER,12,4.8%,$426.8,2002
16,-45.6%,$60.3,$228.0,Signs,25.2%,2,AUGUST,15,10.3%,$904.8,2002
17,-47.4%,$67.3,$213.3,Goldmember,26.4%,2,JULY,12,9.2%,$807.3,2002
18,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,2,JUNE,10,9.6%,$847.2,2002
19,-38.4%,$98.3,$403.7,Spider-Man,34.2%,2,MAY,12,13.4%,"$1,179.4",2002
20,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,2,APRIL,10,3.7%,$325.3,2002
21,-43.2%,$55.3,$176.4,Ice Age,21.3%,2,MARCH,15,9.4%,$829.9,2002
22,-36.1%,$31.5,$71.8,John Q.,17.5%,2,FEBRUARY,13,4.6%,$409.4,2002
23,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,2,JANUARY,12,7.8%,$689.2,2002
24,-30.1%,$83.2,$339.8,Two Towers,34.1%,3,DECEMBER,12,11.3%,$997.8,2002
25,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,3,NOVEMBER,16,10.4%,$920.2,2002
26,-42.3%,$33.6,$129.1,The Ring,27.5%,3,OCTOBER,14,5.3%,$469.9,2002
27,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,3,SEPTEMBER,12,4.8%,$426.8,2002
28,-45.6%,$60.3,$228.0,Signs,25.2%,3,AUGUST,15,10.3%,$904.8,2002
29,-47.4%,$67.3,$213.3,Goldmember,26.4%,3,JULY,12,9.2%,$807.3,2002
30,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,3,JUNE,10,9.6%,$847.2,2002
31,-38.4%,$98.3,$403.7,Spider-Man,34.2%,3,MAY,12,13.4%,"$1,179.4",2002
32,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,3,APRIL,10,3.7%,$325.3,2002
33,-43.2%,$55.3,$176.4,Ice Age,21.3%,3,MARCH,15,9.4%,$829.9,2002
34,-36.1%,$31.5,$71.8,John Q.,17.5%,3,FEBRUARY,13,4.6%,$409.4,2002
35,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,3,JANUARY,12,7.8%,$689.2,2002
36,-30.1%,$83.2,$339.8,Two Towers,34.1%,4,DECEMBER,12,11.3%,$997.8,2002
37,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,4,NOVEMBER,16,10.4%,$920.2,2002
38,-42.3%,$33.6,$129.1,The Ring,27.5%,4,OCTOBER,14,5.3%,$469.9,2002
39,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,4,SEPTEMBER,12,4.8%,$426.8,2002
40,-45.6%,$60.3,$228.0,Signs,25.2%,4,AUGUST,15,10.3%,$904.8,2002
41,-47.4%,$67.3,$213.3,Goldmember,26.4%,4,JULY,12,9.2%,$807.3,2002
42,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,4,JUNE,10,9.6%,$847.2,2002
43,-38.4%,$98.3,$403.7,Spider-Man,34.2%,4,MAY,12,13.4%,"$1,179.4",2002
44,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,4,APRIL,10,3.7%,$325.3,2002
45,-43.2%,$55.3,$176.4,Ice Age,21.3%,4,MARCH,15,9.4%,$829.9,2002
46,-36.1%,$31.5,$71.8,John Q.,17.5%,4,FEBRUARY,13,4.6%,$409.4,2002
47,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,4,JANUARY,12,7.8%,$689.2,2002
48,-30.1%,$83.2,$339.8,Two Towers,34.1%,5,DECEMBER,12,11.3%,$997.8,2002
49,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,5,NOVEMBER,16,10.4%,$920.2,2002
50,-42.3%,$33.6,$129.1,The Ring,27.5%,5,OCTOBER,14,5.3%,$469.9,2002
51,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,5,SEPTEMBER,12,4.8%,$426.8,2002
52,-45.6%,$60.3,$228.0,Signs,25.2%,5,AUGUST,15,10.3%,$904.8,2002
53,-47.4%,$67.3,$213.3,Goldmember,26.4%,5,JULY,12,9.2%,$807.3,2002
54,-49.2%,$84.7,$153.3,Scooby-Doo,18.1%,5,JUNE,10,9.6%,$847.2,2002
55,-38.4%,$98.3,$403.7,Spider-Man,34.2%,5,MAY,12,13.4%,"$1,179.4",2002
56,-46.9%,$32.5,$241.4,My Big Fat Greek Wedding,74.2%,5,APRIL,10,3.7%,$325.3,2002
57,-43.2%,$55.3,$176.4,Ice Age,21.3%,5,MARCH,15,9.4%,$829.9,2002
58,-36.1%,$31.5,$71.8,John Q.,17.5%,5,FEBRUARY,13,4.6%,$409.4,2002
59,-30.4%,$57.4,$81.2,Snow Dogs,11.8%,5,JANUARY,12,7.8%,$689.2,2002
60,-30.1%,$83.2,$339.8,Two Towers,34.1%,6,DECEMBER,12,11.3%,$997.8,2002
61,-43.5%,$57.5,$262.0,Harry Potter / Chamber of Secrets,28.5%,6,NOVEMBER,16,10.4%,$920.2,2002
62,-42.3%,$33.6,$129.1,The Ring,27.5%,6,OCTOBER,14,5.3%,$469.9,2002
63,-44.4%,$35.6,$127.2,Sweet Home Alabama,29.8%,6,SEPTEMBER,12,4.8%,$426.8,2002
64,-45.6%,$60.3,$228.0,Signs,25.2%,6,AUGUST,15,10.3%,$904.8,2002
65,-47.4%,$67.3,$213.3,Goldmember,26.4%,6,JULY,12,9.2%,$807.3,2002
