title	year	rank	watched
10 Things I Hate About You 	1999	7.4	1
Twelve Monkeys 	1995	6.5	1
16 Blocks		5.6	1
1900	1976	-99	0
2 Guns		7.6	1
2012		6.9	1
21 Grams		8.1	1
21 Jump Street 	2012	5.2	1
21		7.1	1
25th Hour		7.8	1
27 Dresses		-99	0
28 Days Later		8.4	1
30 Minutes or Less		6.2	1
42		7.3	1
44 Minutes: The North Hollywood Shoot		-99	0
50 First Dates		6.6	1
500 Days of Summer		7.7	1
61		7.8	0
71		5.4	0
8mm		8.2	1
9		7.3	1
A Beautiful Mind		8.2	1
A Brilliant Young Mind		6.6	1
A Case of You		-99	0
A Civil Action 	1998	-99	0
A Cool, Dry Place		-99	0
A Dangerous Method		-99	0
Brokeback Mountain		8.6	1
Broken Arrow 	1996	4.8	1
Broken Flowers		-99	0
Brooklyn's Finest 	2009	6.7	1
Brooklyn		-99	0
Bull Durham		-99	1
Burke and Hare		-99	0
Burn After Reading		-99	1
Burnt		-99	1
Butch Cassidy and the Sundance Kid		-99	1
Butter		7.3	1
Caddyshack		-99	0
Cadillac Records		-99	1
Elmer Gantry		-99	1
Empire Records		-99	1
Enemy at the Gates		-99	1
Enemy of the State		-99	1
Enigma		-99	1
Enough Said		-99	1
Entourage		-99	1
Equals		-99	0
Eraser 	1996	-99	1
Eraserhead		-99	1
Erin Brockovich		-99	1
Eternal Sunshine of the Spotless Mind		-99	1
Everything Must Go		-99	1
Ex Machina 	2014	-99	0
In a World		-99	1
In Bruges		-99	1
In Good Company		-99	1
In The Electric Mist		-99	0
In the Heart of the Sea		-99	1
In The Loop		-99	0
In The Valley of Elah		-99	1
In Your Eyes 	2014	-99	0
Inception		-99	1
Independence Day		-99	1
Indiana Jones and The Last Crusade		-99	1
Raiders of the Lost Ark		-99	1
Indiana Jones and The Temple of Doom		-99	1
Inferno 	2016	-99	1
Inglourious Basterds		-99	1
Inherit The Wind 	1960	-99	1
A Fantastic Fear of Everything		-99	1
About Cherry		-99	1
Allied 	2016	-99	1
Animal Kingdom		-99	0
As Good As It Gets		-99	1
Bad Teacher		-99	1
Being John Malkovich		-99	1
Black Rain		-99	1
Calendar Girls		-99	1
Catch and Release		-99	1
Chicken Run		-99	1
Million Dollar Baby		-99	1
Millions		-99	1
Miracle 	2004	-99	1
Miracle at St. Anna		-99	1
Miracle On 34th Street		-99	1
Mississippi Burning 	1988	-99	1
Mississippi Grind		-99	1
Mona Lisa Smile		-99	1
Money for Nothing: Inside the Federal Reserve		-99	1
Moneyball		-99	1
Monster-in-Law 	2005	-99	1
Monster		-99	1
Monster's Ball		-99	1
Monsters, Inc.		-99	1
Safety Not Guaranteed		-99	1
Saints and Soldiers		-99	0
Salt		-99	1
Salting the Battlefield		-99	0
Salvador 	1986	-99	1
Saving Private Ryan		-99	1
Saving Silverman		-99	1
Scarface		-99	1
Scent of a Woman 	1992	-99	1
Schindler's List		-99	1
Se7en		-99	1
Seabiscuit		-99	1
Thank You For Smoking		-99	1
Thanks for Sharing		-99	1
That's What She Said		-99	1
That's What I Am		-99	1
The 300 Spartans 	1962	-99	1
The 40 Year Old Virgin		-99	1
The Accountant 	2016	-99	1
The Age of Adaline 	2015	-99	0
The Art Of The Steal		-99	1
The Assassination of Jesse James by the Coward Robert Ford		-99	1
The Astronaut Farmer		-99	1
The Avengers		-99	1
The Heartbreak Kid		-99	1
The Hobbit - The Battle of the Five Armies		-99	1
The Hobbit - The Desolation of Smaug		-99	1
The Holiday		-99	1
The Horse Whisperer		-99	1
The Hundred Foot Journey		-99	1
The Hunger Games: Catching Fire		-99	1
The Hunger Games: Mockingjay - Part 1		-99	1
